source,clickbait,methods,gpt_zero_shot_clickbait,gpt_few_shot_clickbait,gemini_zero_shot_clickbait,gemini_few_shot_clickbait,gpt_zero_shot_source,gpt_few_shot_source,gemini_zero_shot_source,gemini_few_shot_source
Harvey Weinstein's 2020 rape conviction overturned,You Won't Believe What Just Happened to Harvey Weinstein's 2020 Rape Conviction,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Sensationalism'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Emotional Triggers'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Police and activists clash on Atlanta campus amid Gaza protests,The 5 Most Shocking Moments from the Atlanta Campus Clashes: What's Really Going On and What's Next? You Won't Believe the Chaos,"[0, 1, 0, 0, 1, 0, 1, 1, 0, 1]","('Yes', ['Lists/Superlatives', 'Sensationalism', 'Curiosity Gap', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Lists/Superlatives', 'Sensationalism', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Sensationalism', 'Curiosity Gap'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Sensationalism', 'Curiosity Gap'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Unfinished Narratives'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Haiti PM resigns as transitional council sworn in,"Heartbreaking: Haiti PM Resigns, Leaving the Country in Uncertain Hands","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","('Yes', ['Emotional Triggers', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Sensationalism'])","('Yes', ['Emotional Triggers'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Europe risks dying and faces big decisions - Macron,Macron Reveals the Surprising Reason Europe is on the Brink of Collapse,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","('Yes', ['Curiosity Gap', 'Exaggeration', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Sensationalism'])","('Yes', ['Curiosity Gap', 'Sensationalism'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Exaggeration'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism'])"
Prosecutors ask for halt to case against Spain PM's wife,Outrageous: Prosecutors Drop Bombshell in Case Against Spain PM's Wife - You'll Be Furious,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","('Yes', ['Sensationalism', 'Emotional Triggers', 'Exaggeration'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Curiosity Gap', 'Direct Appeals'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Direct Appeals', 'Unfinished Narratives'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
WATCH: Would you pay a tourist fee to enter Venice?,The Top 3 Most Expensive Tourist Destinations: Would You Pay a Small Fortune to Visit Venice? Watch and Decide,"[1, 1, 0, 0, 1, 0, 1, 0, 0, 0]","('Yes', ['Lists/Superlatives', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Lists/Superlatives', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Lists/Superlatives', 'Provocative Questions', 'Direct Appeals'])","('Yes', ['Lists/Superlatives', 'Provocative Questions', 'Direct Appeals'])","('Yes', ['Provocative Questions', 'Curiosity Gap'])","('Yes', ['Provocative Questions', 'Direct Appeals'])","('Yes', ['Provocative Questions', 'Direct Appeals'])","('Yes', ['Direct Appeals', 'Provocative Questions'])"
Supreme Court divided on whether Trump has immunity,The Trump Immunity Bombshell: 5 Shocking Reasons the Supreme Court is Torn and What it Means for You,"[1, 1, 1, 1, 0, 0, 0, 0, 1, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Lists/Superlatives', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Lists/Superlatives', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Lists/Superlatives', 'Direct Appeals'])","('Yes', ['Sensationalism', 'Lists/Superlatives', 'Direct Appeals'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('Yes', ['Curiosity Gap', 'Emotional Triggers'])"
More than 150 killed as heavy rains pound Tanzania,The 5 Deadliest Natural Disasters of the Year: What's Behind the Devastating Tanzania Floods that Killed Over 150 - and is Your City Next?,"[0, 0, 1, 1, 1, 0, 0, 1, 0, 1]","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Lists/Superlatives', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Sensationalism', 'Direct Appeals', 'Provocative Questions'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Provocative Questions', 'Sensationalism'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
"Playboy model's interview 'aggravated' Trump, court hears",The Playboy Model Who 'Aggravated' Trump: But What Really Happened and What's the Model Hiding?,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1]","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Ambiguous References', 'Provocative Questions'])","('Yes', ['Ambiguous References', 'Curiosity Gap', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Ambiguous References'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Ambiguous References'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Ambiguous References'])","('Yes', ['Emotional Triggers', 'Sensationalism'])"
Paris's Moulin Rouge loses windmill sails overnight,Help Save the Moulin Rouge: What You Can Do After the Iconic Windmill Sails Vanished Overnight,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Direct Appeals'])","('Yes', ['Emotional Triggers', 'Curiosity Gap', 'Direct Appeals', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Curiosity Gap', 'Sensationalism', 'Direct Appeals'])","('Yes', ['Sensationalism', 'Curiosity Gap'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
